Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH
CaCl2,g/L,3,-0.0204,3.07
CaCl2,g/L,3,-0.019,3.09
CaCl2,g/L,3,-0.0177,3.11
CaCl2,g/L,3,-0.0163,3.13
CaCl2,g/L,3,-0.015,3.16
CaCl2,g/L,3,-0.0136,3.2
CaCl2,g/L,3,-0.0123,3.24
CaCl2,g/L,3,-0.0109,3.28
CaCl2,g/L,3,-0.0096,3.31
CaCl2,g/L,3,-0.0082,3.35
CaCl2,g/L,3,-0.0068,3.42
CaCl2,g/L,3,-0.0055,3.46
CaCl2,g/L,3,-0.0041,3.52
CaCl2,g/L,3,-0.0027,3.57
CaCl2,g/L,3,-0.0014,3.92
CaCl2,g/L,3,0,5.11
CaCl2,g/L,3,0.0003,5.24
CaCl2,g/L,3,0.0006,5.42
CaCl2,g/L,3,0.0009,5.51
CaCl2,g/L,3,0.0011,5.6
CaCl2,g/L,3,0.0014,5.71
CaCl2,g/L,3,0.0017,5.84
CaCl2,g/L,3,0.002,5.97
CaCl2,g/L,3,0.0023,6.07
CaCl2,g/L,3,0.0026,6.16
CaCl2,g/L,3,0.0029,6.24
CaCl2,g/L,3,0.0031,6.51
CaCl2,g/L,3,0.0034,6.78
CaCl2,g/L,3,0.0037,7.01
CaCl2,g/L,3,0.004,7.13
CaCl2,g/L,3,0.0043,7.31
CaCl2,g/L,3,0.0046,7.69
CaCl2,g/L,3,0.0048,7.94
CaCl2,g/L,3,0.0051,8.26
CaCl2,g/L,3,0.0054,8.47
CaCl2,g/L,3,0.0057,8.68
CaCl2,g/L,3,0.006,8.75
CaCl2,g/L,3,0.0063,8.86
CaCl2,g/L,3,0.0065,8.98
CaCl2,g/L,3,0.0068,9
CaCl2,g/L,5,-0.0258,3
CaCl2,g/L,5,-0.0244,3.01
CaCl2,g/L,5,-0.0231,3.04
CaCl2,g/L,5,-0.0217,3.05
CaCl2,g/L,5,-0.0204,3.08
CaCl2,g/L,5,-0.019,3.12
CaCl2,g/L,5,-0.0177,3.13
CaCl2,g/L,5,-0.0163,3.14
CaCl2,g/L,5,-0.015,3.16
CaCl2,g/L,5,-0.0136,3.19
CaCl2,g/L,5,-0.0123,3.22
CaCl2,g/L,5,-0.0109,3.25
CaCl2,g/L,5,-0.0096,3.31
CaCl2,g/L,5,-0.0082,3.35
CaCl2,g/L,5,-0.0068,3.41
CaCl2,g/L,5,-0.0055,3.48
CaCl2,g/L,5,-0.0041,3.56
CaCl2,g/L,5,-0.0027,3.69
CaCl2,g/L,5,-0.0014,4
CaCl2,g/L,5,0,5.65
CaCl2,g/L,5,0.0003,5.73
CaCl2,g/L,5,0.0006,5.8
CaCl2,g/L,5,0.0009,5.92
CaCl2,g/L,5,0.0011,6.03
CaCl2,g/L,5,0.0014,6.12
CaCl2,g/L,5,0.0017,6.26
CaCl2,g/L,5,0.002,6.33
CaCl2,g/L,5,0.0023,6.41
CaCl2,g/L,5,0.0026,6.55
CaCl2,g/L,5,0.0029,6.68
CaCl2,g/L,5,0.0031,6.83
CaCl2,g/L,5,0.0034,7.06
CaCl2,g/L,5,0.0037,7.29
CaCl2,g/L,5,0.004,7.47
CaCl2,g/L,5,0.0043,7.66
CaCl2,g/L,5,0.0046,7.85
CaCl2,g/L,5,0.0048,8.05
CaCl2,g/L,5,0.0051,8.25
CaCl2,g/L,5,0.0054,8.39
CaCl2,g/L,5,0.0057,8.53
CaCl2,g/L,5,0.006,8.69
CaCl2,g/L,5,0.0063,8.78
CaCl2,g/L,5,0.0065,8.84
CaCl2,g/L,5,0.0068,8.93
CaCl2,g/L,5,0.0071,9
Ex. Levadura,%,1,-0.0405,3
Ex. Levadura,%,1,-0.0392,3.02
Ex. Levadura,%,1,-0.0378,3.05
Ex. Levadura,%,1,-0.0365,3.06
Ex. Levadura,%,1,-0.0352,3.07
Ex. Levadura,%,1,-0.0338,3.09
Ex. Levadura,%,1,-0.0325,3.12
Ex. Levadura,%,1,-0.0312,3.15
Ex. Levadura,%,1,-0.0298,3.17
Ex. Levadura,%,1,-0.0285,3.22
Ex. Levadura,%,1,-0.0271,3.26
Ex. Levadura,%,1,-0.0258,3.29
Ex. Levadura,%,1,-0.0244,3.33
Ex. Levadura,%,1,-0.0231,3.38
Ex. Levadura,%,1,-0.0217,3.44
Ex. Levadura,%,1,-0.0204,3.5
Ex. Levadura,%,1,-0.019,3.62
Ex. Levadura,%,1,-0.0177,3.69
Ex. Levadura,%,1,-0.0163,3.74
Ex. Levadura,%,1,-0.015,3.83
Ex. Levadura,%,1,-0.0136,3.87
Ex. Levadura,%,1,-0.0123,3.98
Ex. Levadura,%,1,-0.0109,4.06
Ex. Levadura,%,1,-0.0096,4.16
Ex. Levadura,%,1,-0.0082,4.28
Ex. Levadura,%,1,-0.0068,4.42
Ex. Levadura,%,1,-0.0055,4.6
Ex. Levadura,%,1,-0.0041,4.8
Ex. Levadura,%,1,-0.0027,5.07
Ex. Levadura,%,1,-0.0014,5.41
Ex. Levadura,%,1,0,5.7
Ex. Levadura,%,1,0.0029,6.01
Ex. Levadura,%,1,0.0057,6.36
Ex. Levadura,%,1,0.0086,6.83
Ex. Levadura,%,1,0.0115,7.16
Ex. Levadura,%,1,0.0143,7.44
Ex. Levadura,%,1,0.0172,7.72
Ex. Levadura,%,1,0.0201,7.95
Ex. Levadura,%,1,0.0229,8.08
Ex. Levadura,%,1,0.0258,8.17
Ex. Levadura,%,1,0.0286,8.28
Ex. Levadura,%,1,0.0315,8.42
Ex. Levadura,%,1,0.0343,8.53
Ex. Levadura,%,1,0.0371,8.63
Ex. Levadura,%,1,0.04,8.71
Ex. Levadura,%,1,0.0428,8.85
Ex. Levadura,%,1,0.0456,8.93
Ex. Levadura,%,1,0.0485,9
Ex. Levadura,%,3,-0.1305,3
Ex. Levadura,%,3,-0.1292,3.01
Ex. Levadura,%,3,-0.128,3.01
Ex. Levadura,%,3,-0.1267,3.02
Ex. Levadura,%,3,-0.1255,3.03
Ex. Levadura,%,3,-0.1242,3.04
Ex. Levadura,%,3,-0.123,3.05
Ex. Levadura,%,3,-0.1217,3.07
Ex. Levadura,%,3,-0.1205,3.08
Ex. Levadura,%,3,-0.1192,3.09
Ex. Levadura,%,3,-0.118,3.1
Ex. Levadura,%,3,-0.1167,3.11
Ex. Levadura,%,3,-0.1155,3.12
Ex. Levadura,%,3,-0.1142,3.13
Ex. Levadura,%,3,-0.113,3.15
Ex. Levadura,%,3,-0.1117,3.16
Ex. Levadura,%,3,-0.1104,3.18
Ex. Levadura,%,3,-0.1092,3.19
Ex. Levadura,%,3,-0.1079,3.21
Ex. Levadura,%,3,-0.1067,3.22
Ex. Levadura,%,3,-0.1054,3.23
Ex. Levadura,%,3,-0.1041,3.25
Ex. Levadura,%,3,-0.1028,3.27
Ex. Levadura,%,3,-0.1016,3.28
Ex. Levadura,%,3,-0.1003,3.29
Ex. Levadura,%,3,-0.099,3.3
Ex. Levadura,%,3,-0.0978,3.32
Ex. Levadura,%,3,-0.0965,3.35
Ex. Levadura,%,3,-0.0952,3.38
Ex. Levadura,%,3,-0.0939,3.4
Ex. Levadura,%,3,-0.0927,3.42
Ex. Levadura,%,3,-0.0914,3.45
Ex. Levadura,%,3,-0.0901,3.47
Ex. Levadura,%,3,-0.0888,3.5
Ex. Levadura,%,3,-0.0875,3.52
Ex. Levadura,%,3,-0.0862,3.54
Ex. Levadura,%,3,-0.085,3.56
Ex. Levadura,%,3,-0.0837,3.58
Ex. Levadura,%,3,-0.0824,3.61
Ex. Levadura,%,3,-0.0811,3.64
Ex. Levadura,%,3,-0.0798,3.67
Ex. Levadura,%,3,-0.0785,3.71
Ex. Levadura,%,3,-0.0772,3.74
Ex. Levadura,%,3,-0.0759,3.75
Ex. Levadura,%,3,-0.0746,3.76
Ex. Levadura,%,3,-0.0733,3.78
Ex. Levadura,%,3,-0.072,3.8
Ex. Levadura,%,3,-0.0707,3.81
Ex. Levadura,%,3,-0.0694,3.84
Ex. Levadura,%,3,-0.0681,3.87
Ex. Levadura,%,3,-0.0668,3.91
Ex. Levadura,%,3,-0.0655,3.92
Ex. Levadura,%,3,-0.0642,3.94
Ex. Levadura,%,3,-0.0629,3.96
Ex. Levadura,%,3,-0.0616,3.99
Ex. Levadura,%,3,-0.0603,4.01
Ex. Levadura,%,3,-0.059,4.03
Ex. Levadura,%,3,-0.0577,4.06
Ex. Levadura,%,3,-0.0564,4.08
Ex. Levadura,%,3,-0.055,4.11
Ex. Levadura,%,3,-0.0537,4.12
Ex. Levadura,%,3,-0.0524,4.15
Ex. Levadura,%,3,-0.0511,4.18
Ex. Levadura,%,3,-0.0498,4.22
Ex. Levadura,%,3,-0.0484,4.24
Ex. Levadura,%,3,-0.0471,4.26
Ex. Levadura,%,3,-0.0458,4.29
Ex. Levadura,%,3,-0.0445,4.31
Ex. Levadura,%,3,-0.0431,4.35
Ex. Levadura,%,3,-0.0418,4.38
Ex. Levadura,%,3,-0.0405,4.4
Ex. Levadura,%,3,-0.0392,4.43
Ex. Levadura,%,3,-0.0378,4.46
Ex. Levadura,%,3,-0.0365,4.48
Ex. Levadura,%,3,-0.0352,4.51
Ex. Levadura,%,3,-0.0338,4.53
Ex. Levadura,%,3,-0.0325,4.57
Ex. Levadura,%,3,-0.0312,4.6
Ex. Levadura,%,3,-0.0298,4.62
Ex. Levadura,%,3,-0.0285,4.66
Ex. Levadura,%,3,-0.0271,4.69
Ex. Levadura,%,3,-0.0258,4.72
Ex. Levadura,%,3,-0.0244,4.78
Ex. Levadura,%,3,-0.0231,4.81
Ex. Levadura,%,3,-0.0217,4.85
Ex. Levadura,%,3,-0.0204,4.89
Ex. Levadura,%,3,-0.019,4.97
Ex. Levadura,%,3,-0.0177,5.01
Ex. Levadura,%,3,-0.0163,5.04
Ex. Levadura,%,3,-0.015,5.09
Ex. Levadura,%,3,-0.0136,5.16
Ex. Levadura,%,3,-0.0123,5.23
Ex. Levadura,%,3,-0.0109,5.29
Ex. Levadura,%,3,-0.0096,5.34
Ex. Levadura,%,3,-0.0082,5.41
Ex. Levadura,%,3,-0.0068,5.46
Ex. Levadura,%,3,-0.0055,5.55
Ex. Levadura,%,3,-0.0041,5.62
Ex. Levadura,%,3,-0.0027,5.7
Ex. Levadura,%,3,-0.0014,5.77
Ex. Levadura,%,3,0,5.83
Ex. Levadura,%,3,0.0029,5.95
Ex. Levadura,%,3,0.0057,6.13
Ex. Levadura,%,3,0.0086,6.29
Ex. Levadura,%,3,0.0115,6.39
Ex. Levadura,%,3,0.0143,6.56
Ex. Levadura,%,3,0.0172,6.64
Ex. Levadura,%,3,0.0201,6.73
Ex. Levadura,%,3,0.0229,6.92
Ex. Levadura,%,3,0.0258,7.08
Ex. Levadura,%,3,0.0286,7.25
Ex. Levadura,%,3,0.0315,7.31
Ex. Levadura,%,3,0.0343,7.46
Ex. Levadura,%,3,0.0371,7.51
Ex. Levadura,%,3,0.04,7.66
Ex. Levadura,%,3,0.0428,7.73
Ex. Levadura,%,3,0.0456,7.83
Ex. Levadura,%,3,0.0485,7.92
Ex. Levadura,%,3,0.0513,8.01
Ex. Levadura,%,3,0.0541,7.98
Ex. Levadura,%,3,0.0569,8.07
Ex. Levadura,%,3,0.0597,8.17
Ex. Levadura,%,3,0.0626,8.22
Ex. Levadura,%,3,0.0654,8.29
Ex. Levadura,%,3,0.0682,8.33
Ex. Levadura,%,3,0.071,8.41
Ex. Levadura,%,3,0.0738,8.44
Ex. Levadura,%,3,0.0766,8.47
Ex. Levadura,%,3,0.0794,8.5
Ex. Levadura,%,3,0.0822,8.52
Ex. Levadura,%,3,0.085,8.58
Ex. Levadura,%,3,0.0878,8.61
Ex. Levadura,%,3,0.0906,8.64
Ex. Levadura,%,3,0.0933,8.67
Ex. Levadura,%,3,0.0961,8.69
Ex. Levadura,%,3,0.0989,8.71
Ex. Levadura,%,3,0.1017,8.75
Ex. Levadura,%,3,0.1044,8.79
Ex. Levadura,%,3,0.1072,8.81
Ex. Levadura,%,3,0.11,8.85
Ex. Levadura,%,3,0.1127,8.88
Ex. Levadura,%,3,0.1155,8.91
Ex. Levadura,%,3,0.1183,8.94
Ex. Levadura,%,3,0.121,8.97
Ex. Levadura,%,3,0.1238,9
Ex. Levadura,%,5,-0.2331,3
Ex. Levadura,%,5,-0.232,3.01
Ex. Levadura,%,5,-0.2308,3.02
Ex. Levadura,%,5,-0.2297,3.03
Ex. Levadura,%,5,-0.2285,3.04
Ex. Levadura,%,5,-0.2274,3.05
Ex. Levadura,%,5,-0.2262,3.05
Ex. Levadura,%,5,-0.2251,3.06
Ex. Levadura,%,5,-0.2239,3.06
Ex. Levadura,%,5,-0.2228,3.07
Ex. Levadura,%,5,-0.2216,3.07
Ex. Levadura,%,5,-0.2205,3.08
Ex. Levadura,%,5,-0.2193,3.08
Ex. Levadura,%,5,-0.2181,3.08
Ex. Levadura,%,5,-0.217,3.09
Ex. Levadura,%,5,-0.2158,3.1
Ex. Levadura,%,5,-0.2147,3.1
Ex. Levadura,%,5,-0.2135,3.12
Ex. Levadura,%,5,-0.2123,3.13
Ex. Levadura,%,5,-0.2112,3.14
Ex. Levadura,%,5,-0.21,3.14
Ex. Levadura,%,5,-0.2088,3.15
Ex. Levadura,%,5,-0.2077,3.15
Ex. Levadura,%,5,-0.2065,3.16
Ex. Levadura,%,5,-0.2053,3.17
Ex. Levadura,%,5,-0.2041,3.18
Ex. Levadura,%,5,-0.203,3.19
Ex. Levadura,%,5,-0.2018,3.2
Ex. Levadura,%,5,-0.2006,3.2
Ex. Levadura,%,5,-0.1994,3.2
Ex. Levadura,%,5,-0.1983,3.21
Ex. Levadura,%,5,-0.1971,3.22
Ex. Levadura,%,5,-0.1959,3.23
Ex. Levadura,%,5,-0.1947,3.24
Ex. Levadura,%,5,-0.1935,3.25
Ex. Levadura,%,5,-0.1923,3.25
Ex. Levadura,%,5,-0.1912,3.27
Ex. Levadura,%,5,-0.19,3.27
Ex. Levadura,%,5,-0.1888,3.28
Ex. Levadura,%,5,-0.1876,3.29
Ex. Levadura,%,5,-0.1864,3.3
Ex. Levadura,%,5,-0.1852,3.31
Ex. Levadura,%,5,-0.184,3.32
Ex. Levadura,%,5,-0.1828,3.33
Ex. Levadura,%,5,-0.1816,3.33
Ex. Levadura,%,5,-0.1804,3.34
Ex. Levadura,%,5,-0.1793,3.34
Ex. Levadura,%,5,-0.1781,3.35
Ex. Levadura,%,5,-0.1769,3.36
Ex. Levadura,%,5,-0.1757,3.37
Ex. Levadura,%,5,-0.1745,3.37
Ex. Levadura,%,5,-0.1733,3.38
Ex. Levadura,%,5,-0.1721,3.38
Ex. Levadura,%,5,-0.1708,3.4
Ex. Levadura,%,5,-0.1696,3.4
Ex. Levadura,%,5,-0.1684,3.41
Ex. Levadura,%,5,-0.1672,3.42
Ex. Levadura,%,5,-0.166,3.43
Ex. Levadura,%,5,-0.1648,3.44
Ex. Levadura,%,5,-0.1636,3.44
Ex. Levadura,%,5,-0.1624,3.45
Ex. Levadura,%,5,-0.1612,3.45
Ex. Levadura,%,5,-0.16,3.47
Ex. Levadura,%,5,-0.1587,3.49
Ex. Levadura,%,5,-0.1575,3.5
Ex. Levadura,%,5,-0.1563,3.51
Ex. Levadura,%,5,-0.1551,3.52
Ex. Levadura,%,5,-0.1539,3.53
Ex. Levadura,%,5,-0.1527,3.54
Ex. Levadura,%,5,-0.1514,3.55
Ex. Levadura,%,5,-0.1502,3.56
Ex. Levadura,%,5,-0.149,3.57
Ex. Levadura,%,5,-0.1478,3.58
Ex. Levadura,%,5,-0.1465,3.59
Ex. Levadura,%,5,-0.1453,3.59
Ex. Levadura,%,5,-0.1441,3.6
Ex. Levadura,%,5,-0.1428,3.61
Ex. Levadura,%,5,-0.1416,3.62
Ex. Levadura,%,5,-0.1404,3.63
Ex. Levadura,%,5,-0.1391,3.64
Ex. Levadura,%,5,-0.1379,3.65
Ex. Levadura,%,5,-0.1367,3.66
Ex. Levadura,%,5,-0.1354,3.67
Ex. Levadura,%,5,-0.1342,3.68
Ex. Levadura,%,5,-0.133,3.68
Ex. Levadura,%,5,-0.1317,3.7
Ex. Levadura,%,5,-0.1305,3.71
Ex. Levadura,%,5,-0.1292,3.72
Ex. Levadura,%,5,-0.128,3.73
Ex. Levadura,%,5,-0.1267,3.75
Ex. Levadura,%,5,-0.1255,3.76
Ex. Levadura,%,5,-0.1242,3.77
Ex. Levadura,%,5,-0.123,3.78
Ex. Levadura,%,5,-0.1217,3.8
Ex. Levadura,%,5,-0.1205,3.82
Ex. Levadura,%,5,-0.1192,3.83
Ex. Levadura,%,5,-0.118,3.84
Ex. Levadura,%,5,-0.1167,3.85
Ex. Levadura,%,5,-0.1155,3.86
Ex. Levadura,%,5,-0.1142,3.87
Ex. Levadura,%,5,-0.113,3.88
Ex. Levadura,%,5,-0.1117,3.9
Ex. Levadura,%,5,-0.1104,3.91
Ex. Levadura,%,5,-0.1092,3.92
Ex. Levadura,%,5,-0.1079,3.93
Ex. Levadura,%,5,-0.1067,3.94
Ex. Levadura,%,5,-0.1054,3.95
Ex. Levadura,%,5,-0.1041,3.97
Ex. Levadura,%,5,-0.1028,3.99
Ex. Levadura,%,5,-0.1016,4
Ex. Levadura,%,5,-0.1003,4.01
Ex. Levadura,%,5,-0.099,4.01
Ex. Levadura,%,5,-0.0978,4.05
Ex. Levadura,%,5,-0.0965,4.07
Ex. Levadura,%,5,-0.0952,4.09
Ex. Levadura,%,5,-0.0939,4.1
Ex. Levadura,%,5,-0.0927,4.11
Ex. Levadura,%,5,-0.0914,4.12
Ex. Levadura,%,5,-0.0901,4.13
Ex. Levadura,%,5,-0.0888,4.15
Ex. Levadura,%,5,-0.0875,4.16
Ex. Levadura,%,5,-0.0862,4.17
Ex. Levadura,%,5,-0.085,4.18
Ex. Levadura,%,5,-0.0837,4.19
Ex. Levadura,%,5,-0.0824,4.2
Ex. Levadura,%,5,-0.0811,4.21
Ex. Levadura,%,5,-0.0798,4.22
Ex. Levadura,%,5,-0.0785,4.24
Ex. Levadura,%,5,-0.0772,4.25
Ex. Levadura,%,5,-0.0759,4.26
Ex. Levadura,%,5,-0.0746,4.28
Ex. Levadura,%,5,-0.0733,4.29
Ex. Levadura,%,5,-0.072,4.3
Ex. Levadura,%,5,-0.0707,4.32
Ex. Levadura,%,5,-0.0694,4.34
Ex. Levadura,%,5,-0.0681,4.35
Ex. Levadura,%,5,-0.0668,4.37
Ex. Levadura,%,5,-0.0655,4.38
Ex. Levadura,%,5,-0.0642,4.4
Ex. Levadura,%,5,-0.0629,4.42
Ex. Levadura,%,5,-0.0616,4.45
Ex. Levadura,%,5,-0.0603,4.47
Ex. Levadura,%,5,-0.059,4.48
Ex. Levadura,%,5,-0.0577,4.5
Ex. Levadura,%,5,-0.0564,4.53
Ex. Levadura,%,5,-0.055,4.54
Ex. Levadura,%,5,-0.0537,4.55
Ex. Levadura,%,5,-0.0524,4.57
Ex. Levadura,%,5,-0.0511,4.59
Ex. Levadura,%,5,-0.0498,4.61
Ex. Levadura,%,5,-0.0484,4.62
Ex. Levadura,%,5,-0.0471,4.64
Ex. Levadura,%,5,-0.0458,4.65
Ex. Levadura,%,5,-0.0445,4.68
Ex. Levadura,%,5,-0.0431,4.69
Ex. Levadura,%,5,-0.0418,4.7
Ex. Levadura,%,5,-0.0405,4.74
Ex. Levadura,%,5,-0.0392,4.78
Ex. Levadura,%,5,-0.0378,4.81
Ex. Levadura,%,5,-0.0365,4.85
Ex. Levadura,%,5,-0.0352,4.88
Ex. Levadura,%,5,-0.0338,4.9
Ex. Levadura,%,5,-0.0325,4.92
Ex. Levadura,%,5,-0.0312,4.95
Ex. Levadura,%,5,-0.0298,4.97
Ex. Levadura,%,5,-0.0285,5.01
Ex. Levadura,%,5,-0.0271,5.04
Ex. Levadura,%,5,-0.0258,5.08
Ex. Levadura,%,5,-0.0244,5.11
Ex. Levadura,%,5,-0.0231,5.14
Ex. Levadura,%,5,-0.0217,5.19
Ex. Levadura,%,5,-0.0204,5.23
Ex. Levadura,%,5,-0.019,5.28
Ex. Levadura,%,5,-0.0177,5.3
Ex. Levadura,%,5,-0.0163,5.33
Ex. Levadura,%,5,-0.015,5.38
Ex. Levadura,%,5,-0.0136,5.41
Ex. Levadura,%,5,-0.0123,5.45
Ex. Levadura,%,5,-0.0109,5.47
Ex. Levadura,%,5,-0.0096,5.51
Ex. Levadura,%,5,-0.0082,5.58
Ex. Levadura,%,5,-0.0068,5.61
Ex. Levadura,%,5,-0.0055,5.64
Ex. Levadura,%,5,-0.0041,5.7
Ex. Levadura,%,5,-0.0027,5.76
Ex. Levadura,%,5,-0.0014,5.81
Ex. Levadura,%,5,0,5.85
Ex. Levadura,%,5,0.0029,5.93
Ex. Levadura,%,5,0.0057,6.01
Ex. Levadura,%,5,0.0086,6.11
Ex. Levadura,%,5,0.0115,6.17
Ex. Levadura,%,5,0.0143,6.22
Ex. Levadura,%,5,0.0172,6.35
Ex. Levadura,%,5,0.0201,6.46
Ex. Levadura,%,5,0.0229,6.59
Ex. Levadura,%,5,0.0258,6.61
Ex. Levadura,%,5,0.0286,6.75
Ex. Levadura,%,5,0.0315,6.83
Ex. Levadura,%,5,0.0343,6.86
Ex. Levadura,%,5,0.0371,6.94
Ex. Levadura,%,5,0.04,7.07
Ex. Levadura,%,5,0.0428,7.15
Ex. Levadura,%,5,0.0456,7.23
Ex. Levadura,%,5,0.0485,7.29
Ex. Levadura,%,5,0.0513,7.33
Ex. Levadura,%,5,0.0541,7.42
Ex. Levadura,%,5,0.0569,7.48
Ex. Levadura,%,5,0.0597,7.57
Ex. Levadura,%,5,0.0626,7.61
Ex. Levadura,%,5,0.0654,7.64
Ex. Levadura,%,5,0.0682,7.68
Ex. Levadura,%,5,0.071,7.76
Ex. Levadura,%,5,0.0738,7.85
Ex. Levadura,%,5,0.0766,7.89
Ex. Levadura,%,5,0.0794,7.93
Ex. Levadura,%,5,0.0822,7.97
Ex. Levadura,%,5,0.085,7.99
Ex. Levadura,%,5,0.0878,8.01
Ex. Levadura,%,5,0.0906,8.04
Ex. Levadura,%,5,0.0933,8.09
Ex. Levadura,%,5,0.0961,8.12
Ex. Levadura,%,5,0.0989,8.17
Ex. Levadura,%,5,0.1017,8.21
Ex. Levadura,%,5,0.1044,8.25
Ex. Levadura,%,5,0.1072,8.27
Ex. Levadura,%,5,0.11,8.3
Ex. Levadura,%,5,0.1127,8.32
Ex. Levadura,%,5,0.1155,8.35
Ex. Levadura,%,5,0.1183,8.37
Ex. Levadura,%,5,0.121,8.39
Ex. Levadura,%,5,0.1238,8.42
Ex. Levadura,%,5,0.1265,8.44
Ex. Levadura,%,5,0.1293,8.48
Ex. Levadura,%,5,0.132,8.5
Ex. Levadura,%,5,0.1348,8.51
Ex. Levadura,%,5,0.1375,8.53
Ex. Levadura,%,5,0.1402,8.56
Ex. Levadura,%,5,0.143,8.59
Ex. Levadura,%,5,0.1457,8.61
Ex. Levadura,%,5,0.1484,8.63
Ex. Levadura,%,5,0.1512,8.65
Ex. Levadura,%,5,0.1539,8.68
Ex. Levadura,%,5,0.1566,8.7
Ex. Levadura,%,5,0.1593,8.74
Ex. Levadura,%,5,0.1621,8.78
Ex. Levadura,%,5,0.1648,8.8
Ex. Levadura,%,5,0.1675,8.82
Ex. Levadura,%,5,0.1702,8.84
Ex. Levadura,%,5,0.1729,8.85
Ex. Levadura,%,5,0.1756,8.88
Ex. Levadura,%,5,0.1783,8.9
Ex. Levadura,%,5,0.181,8.92
Ex. Levadura,%,5,0.1837,8.95
Ex. Levadura,%,5,0.1864,8.97
Ex. Levadura,%,5,0.1891,9
FeSO4,g/L,0.005,-0.0258,3
FeSO4,g/L,0.005,-0.0248,3.01
FeSO4,g/L,0.005,-0.0238,3.03
FeSO4,g/L,0.005,-0.0227,3.04
FeSO4,g/L,0.005,-0.0216,3.05
FeSO4,g/L,0.005,-0.0205,3.08
FeSO4,g/L,0.005,-0.0194,3.11
FeSO4,g/L,0.005,-0.0182,3.13
FeSO4,g/L,0.005,-0.017,3.16
FeSO4,g/L,0.005,-0.0158,3.19
FeSO4,g/L,0.005,-0.0146,3.22
FeSO4,g/L,0.005,-0.0133,3.25
FeSO4,g/L,0.005,-0.0121,3.29
FeSO4,g/L,0.005,-0.0108,3.34
FeSO4,g/L,0.005,-0.0095,3.38
FeSO4,g/L,0.005,-0.0081,3.41
FeSO4,g/L,0.005,-0.0068,3.46
FeSO4,g/L,0.005,-0.0055,3.54
FeSO4,g/L,0.005,-0.0041,3.61
FeSO4,g/L,0.005,-0.0027,3.74
FeSO4,g/L,0.005,-0.0014,3.91
FeSO4,g/L,0.005,0,5.45
FeSO4,g/L,0.005,0.0003,5.62
FeSO4,g/L,0.005,0.0006,5.65
FeSO4,g/L,0.005,0.0009,5.65
FeSO4,g/L,0.005,0.0011,5.64
FeSO4,g/L,0.005,0.0014,5.71
FeSO4,g/L,0.005,0.0017,5.78
FeSO4,g/L,0.005,0.002,6.04
FeSO4,g/L,0.005,0.0023,6.23
FeSO4,g/L,0.005,0.0026,6.66
FeSO4,g/L,0.005,0.0029,7.64
FeSO4,g/L,0.005,0.0031,7.72
